time_left_game,score_diff,tau_catboost,tau_xgb,tau_lgbm,tau_mean_ensemble,tau_std_across_models,tau_sign_agree_ratio,tau_sign_disagree
120.0,10.0,-0.001381202251650393,-0.0010773162357509136,-0.0018002252327278256,-0.001419581240043044,0.00029637146122175087,0.0,0
131.25,-10.0,-0.001762665226124227,-0.001300647621974349,-0.001632338622584939,-0.001565217156894505,0.0001944977035055897,0.0,0
131.25,-9.0,-0.001762665226124227,-0.0013012271374464035,-0.001632338622584939,-0.0015654103287185233,0.00019423495190200746,0.0,0
131.25,-8.0,-0.001762665226124227,-0.001304985606111586,-0.001632338622584939,-0.0015666631516069174,0.0001925315718869117,0.0,0
131.25,-7.0,-0.001762665226124227,-0.001289633335545659,-0.0016415005084127188,-0.001564599690027535,0.00020062418311745113,0.0,0
131.25,-6.0,-0.001775081385858357,-0.0013368688523769379,-0.0014239480951800942,-0.001511966111138463,0.00018941653302529974,0.0,0
131.25,-5.0,-0.0017895411001518369,-0.001284805708564818,-0.001502729719504714,-0.0015256921760737896,0.0002066960888017161,0.0,0
131.25,-4.0,-0.0017895411001518369,-0.0012861915165558457,-0.0014318067114800215,-0.0015025131093959014,0.00021148640122750756,0.0,0
131.25,-3.0,-0.0018355685751885176,-0.0013569998554885387,-0.0014133807271718979,-0.0015353163859496515,0.0002135544169994973,0.0,0
131.25,-2.0,-0.0018849230837076902,-0.0012526987120509148,-0.0014105318114161491,-0.0015160512023915846,0.0002686728747418457,0.0,0
131.25,-1.0,-0.0018645492382347584,-0.0012520713498815894,-0.0014098157407715917,-0.0015088121096293132,0.0002596568270052478,0.0,0
131.25,0.0,-0.0017962687416002154,-0.0011546851601451635,-0.001430606935173273,-0.001460520278972884,0.0002627780801375032,0.0,0
131.25,1.0,-0.0017919387901201844,-0.001213461859151721,-0.0014416184276342392,-0.0014823396923020482,0.0002379111262114243,0.0,0
131.25,2.0,-0.0017911468166857958,-0.0009919701842591166,-0.0014593428932130337,-0.0014141532980526488,0.00032782352680192785,0.0,0
131.25,3.0,-0.0017793196020647883,-0.001026826910674572,-0.0015740381786599755,-0.0014600615637997787,0.0003175996580604426,0.0,0
131.25,4.0,-0.0015824150759726763,-0.0009567873203195632,-0.0016927364049479365,-0.0014106462670800586,0.00032407165521699735,0.0,0
131.25,5.0,-0.0015067511703819036,-0.0010505648097023368,-0.0017286654328927398,-0.0014286604709923267,0.00028228677119927553,0.0,0
131.25,6.0,-0.0014222452882677317,-0.0010536520276218653,-0.001666460419073701,-0.0013807859116544325,0.00025188977892498814,0.0,0
131.25,7.0,-0.0014222452882677317,-0.0010228280443698168,-0.0017228610813617706,-0.0013893114713331063,0.000286734535117365,0.0,0
131.25,8.0,-0.0014222452882677317,-0.0010451754787936807,-0.0017729027895256877,-0.0014134411855290334,0.00029715864883378927,0.0,0
131.25,9.0,-0.0014222452882677317,-0.001039715949445963,-0.0017729027895256877,-0.0014116213424131274,0.00029941652903123006,0.0,0
131.25,10.0,-0.0014222452882677317,-0.0010304154129698873,-0.0017729027895256877,-0.0014085211635877688,0.0003032745068798806,0.0,0
142.5,-10.0,-0.0017092390917241573,-0.001270286738872528,-0.001632338622584939,-0.0015372881510605414,0.00019139093695235944,0.0,0
142.5,-9.0,-0.0017092390917241573,-0.0012708662543445826,-0.001632338622584939,-0.0015374813228845596,0.00019112145635326674,0.0,0
142.5,-8.0,-0.0017092390917241573,-0.0012746244901791215,-0.001632338622584939,-0.0015387340681627393,0.00018937409612628558,0.0,0
142.5,-7.0,-0.0017092390917241573,-0.0012592724524438381,-0.0016415005084127188,-0.0015366706841935713,0.00019808998485649432,0.0,0
142.5,-6.0,-0.0017216557171195745,-0.0013401734177023172,-0.0014239480951800942,-0.0014952590766673286,0.00016369917176062927,0.0,0
142.5,-5.0,-0.0017361155478283763,-0.0012881106231361628,-0.001502729719504714,-0.0015089852968230844,0.0001829507261948028,0.0,0
142.5,-4.0,-0.0017361155478283763,-0.0012915885308757424,-0.0014318067114800215,-0.0014865035967280467,0.00018555300975207155,0.0,0
142.5,-3.0,-0.001782143022865057,-0.001364289317280054,-0.0014133807271718979,-0.0015199376891056697,0.00018648721032141596,0.0,0
142.5,-2.0,-0.0018797433003783226,-0.0012628413969650865,-0.0014105318114161491,-0.0015177055029198527,0.00026300397933823067,0.0,0
142.5,-1.0,-0.0018593698041513562,-0.0012635475723072886,-0.0014098157407715917,-0.0015109110390767455,0.0002535300475216136,0.0,0
142.5,0.0,-0.0017910893075168133,-0.0011661616154015064,-0.001430606935173273,-0.001462619286030531,0.00025612789519912,0.0,0
142.5,1.0,-0.0017867591232061386,-0.0012249378487467766,-0.0014416184276342392,-0.0014844384665290515,0.0002313524769797525,0.0,0
142.5,2.0,-0.0017859672661870718,-0.0010230502812191844,-0.0014593428932130337,-0.0014227868135397632,0.00031253036301446706,0.0,0
142.5,3.0,-0.001774139003828168,-0.0010480713099241257,-0.0015740381786599755,-0.001465416164137423,0.00030620541097111775,0.0,0
142.5,4.0,-0.0016077449545264244,-0.0009615069720894098,-0.0017002688255161047,-0.0014231735840439796,0.0003286256351543879,0.0,0
142.5,5.0,-0.00153208093252033,-0.0010603994596749544,-0.0017361986683681607,-0.001442893020187815,0.00028301001795845226,0.0,0
142.5,6.0,-0.0014475748175755143,-0.0010679271072149277,-0.0016739935381338,-0.001396498487641414,0.00025004762650521586,0.0,0
142.5,7.0,-0.0014475748175755143,-0.001037103240378201,-0.001730393967591226,-0.0014050240085149805,0.00028462950962455366,0.0,0
142.5,8.0,-0.0014475748175755143,-0.0010594509076327085,-0.001780435093678534,-0.0014291536062955856,0.0002946286418536677,0.0,0
142.5,9.0,-0.0014475748175755143,-0.0010470823617652059,-0.001780435093678534,-0.0014250307576730847,0.0002998140905392859,0.0,0
142.5,10.0,-0.0014475748175755143,-0.0010377818252891302,-0.001780435093678534,-0.0014219305788477261,0.00030372870514908725,0.0,0
153.75,-10.0,-0.001640781294554472,-0.0011458366643637419,-0.0016985853435471654,-0.0014950677674884598,0.00024806867269940654,0.0,0
153.75,-9.0,-0.001640781294554472,-0.0011464162962511182,-0.0016985853435471654,-0.0014952609781175852,0.0002477966721189974,0.0,0
153.75,-8.0,-0.001640781294554472,-0.0011501745320856571,-0.0016985853435471654,-0.0014965137233957648,0.0002460331327253736,0.0,0
153.75,-7.0,-0.001640781294554472,-0.0011348221451044083,-0.0017077472293749452,-0.001494450223011275,0.00025576079308712874,0.0,0
153.75,-6.0,-0.0016531979199498892,-0.0012157232267782092,-0.0014901950489729643,-0.0014530387319003542,0.00018052048953921018,0.0,0
153.75,-5.0,-0.0016676574014127254,-0.001163660199381411,-0.0015355574432760477,-0.0014556250146900613,0.00021337789602578916,0.0,0
153.75,-4.0,-0.0016676574014127254,-0.0011702849296852946,-0.0014646346680819988,-0.0014341923330600064,0.0002041892842915725,0.0,0
153.75,-3.0,-0.0017136847600340843,-0.0012599093606695533,-0.001446208101697266,-0.0014732674074669678,0.00018623852589025645,0.0,0
153.75,-2.0,-0.0018539052689448,-0.0011637579882517457,-0.0014433596516028047,-0.0014870076362664502,0.00028343685620834226,0.0,0
153.75,-1.0,-0.0018335316563025117,-0.0011654951376840472,-0.0014426435809582472,-0.0014805567916482687,0.0002740392383225305,0.0,0
153.75,0.0,-0.0017652512760832906,-0.0010681090643629432,-0.0014634347753599286,-0.0014322650386020541,0.00028545925594586564,0.0,0
153.75,1.0,-0.0017609207425266504,-0.0011286220978945494,-0.0014744462678208947,-0.0014546630360806982,0.000258513605308583,0.0,0
153.75,2.0,-0.001760129234753549,-0.0009269556612707675,-0.0014921706169843674,-0.0013930851710028946,0.00034728278111795057,0.0,0
153.75,3.0,-0.0017924064304679632,-0.0009521753527224064,-0.0016068661352619529,-0.0014504826394841075,0.00036040617301052574,0.0,0
153.75,4.0,-0.0016508565749973059,-0.0008728586253710091,-0.0017107219900935888,-0.0014114790634873013,0.00038164551549712763,0.0,0
153.75,5.0,-0.0015751926694065332,-0.0009769534226506948,-0.0017466516001150012,-0.0014329325640574098,0.00032993663460168275,0.0,0
153.75,6.0,-0.001490686321631074,-0.000989363412372768,-0.0016844463534653187,-0.0013881653624897201,0.0002928799344975285,0.0,0
153.75,7.0,-0.001490686321631074,-0.0009585393709130585,-0.0017408467829227448,-0.0013966908251556258,0.0003262183182467152,0.0,0
153.75,8.0,-0.001490686321631074,-0.0009808868635445833,-0.00179088837467134,-0.0014208205199489992,0.00033435164591630827,0.0,0
153.75,9.0,-0.001490686321631074,-0.0009607633692212403,-0.00179088837467134,-0.0014141126885078847,0.0003431953011873809,0.0,0
153.75,10.0,-0.001490686321631074,-0.0009514627163298428,-0.00179088837467134,-0.001411012470877419,0.0003472941124762034,0.0,0
165.0,-10.0,-0.001640781294554472,-0.0013024068903177977,-0.0016985853435471654,-0.0015472578428064783,0.00017473659933539597,0.0,0
165.0,-9.0,-0.001640781294554472,-0.0013029864057898521,-0.0016985853435471654,-0.0015474510146304965,0.0001744659197889268,0.0,0
165.0,-8.0,-0.001640781294554472,-0.0013067449908703566,-0.0016985853435471654,-0.001548703876323998,0.00017271055499006366,0.0,0
165.0,-7.0,-0.001640781294554472,-0.0012913924874737859,-0.0017077472293749452,-0.001546640337134401,0.00018254626386000701,0.0,0
165.0,-6.0,-0.0016531979199498892,-0.0013737211702391505,-0.0014901950489729643,-0.0015057047130540013,0.00011462177125121758,0.0,0
165.0,-5.0,-0.0016676574014127254,-0.0013216586085036397,-0.0015355574432760477,-0.0015082911510641377,0.00014256315370593962,0.0,0
165.0,-4.0,-0.0016676574014127254,-0.0013316153781488538,-0.0014646346680819988,-0.001487969149214526,0.00013817726261849866,0.0,0
165.0,-3.0,-0.0017136847600340843,-0.001430263975635171,-0.001446208101697266,-0.0015300522791221738,0.00013001081960967297,0.0,0
165.0,-2.0,-0.0018539052689448,-0.0013317929115146399,-0.0014433596516028047,-0.0015430192773540814,0.00022449849175288942,0.0,0
165.0,-1.0,-0.0018335316563025117,-0.0013423609780147672,-0.0014426435809582472,-0.0015395120717585087,0.00021189586622497855,0.0,0
165.0,0.0,-0.0017652512760832906,-0.0012428107438609004,-0.0014634347753599286,-0.00149049893176804,0.0002141422873523826,0.0,0
165.0,1.0,-0.0017609207425266504,-0.0012884236639365554,-0.0014744462678208947,-0.0015079302247613668,0.00019434377418779873,0.0,0
165.0,2.0,-0.001760129234753549,-0.001091237529180944,-0.0014921706169843674,-0.00144784579363962,0.00027486669001458927,0.0,0
165.0,3.0,-0.0017924064304679632,-0.0011164253810420632,-0.0016068661352619529,-0.0015052326489239931,0.0002851720170407579,0.0,0
165.0,4.0,-0.0016508565749973059,-0.0010336630512028933,-0.0017107219900935888,-0.001465080538764596,0.00030603567701789446,0.0,0
165.0,5.0,-0.0015751926694065332,-0.001138393534347415,-0.0017466516001150012,-0.0014867459346229832,0.0002560749725025011,0.0,0
165.0,6.0,-0.001490686321631074,-0.0011601524893194437,-0.0016844463534653187,-0.0014450950548052788,0.00021645621066525048,0.0,0
165.0,7.0,-0.001490686321631074,-0.001129142357967794,-0.0017408467829227448,-0.0014535584875072043,0.0002511034752546102,0.0,0
165.0,8.0,-0.001490686321631074,-0.0011450499296188354,-0.00179088837467134,-0.0014755415419737499,0.00026387983065543415,0.0,0
165.0,9.0,-0.001490686321631074,-0.0011249262606725097,-0.00179088837467134,-0.0014688336523249745,0.00027231665230915655,0.0,0
165.0,10.0,-0.001490686321631074,-0.0011156258406117558,-0.00179088837467134,-0.0014657335123047233,0.0002762388513540419,0.0,0
176.25,-10.0,-0.001640781294554472,-0.0012777461670339108,-0.0016985853435471654,-0.0015390376017118494,0.0001862618898165144,0.0,0
