time_window,time_lo,time_hi,score_region,score_lo,score_hi,outer_fold,test_years,n,tau_mean,tau_median,tau_sd,share_three_pref,share_two_pref,share_near_zero_abs_0_001,mean_sign_agree_ratio
15_30,15.0,30.0,all_score,-10,10,train2000_2009_test2010_2012,2010-2012,2385.0,0.008652336115812847,0.00027259754324922687,0.0269571576457261,0.5056603773584906,0.49433962264150944,0.0389937106918239,0.8336827393431167
15_30,15.0,30.0,all_score,-10,10,train2000_2012_test2013_2015,2013-2015,2528.0,0.0036934248641922454,-0.000208789851425026,0.016702532093813432,0.49485759493670883,0.5051424050632911,0.04509493670886076,0.8521888185654007
15_30,15.0,30.0,all_score,-10,10,train2000_2015_test2016_2018,2016-2018,2383.0,-0.00511911194826409,-0.007335967854727694,0.014679840726150032,0.3185060847671003,0.6814939152328997,0.0419639110365086,0.8472513638271086
15_30,15.0,30.0,all_score,-10,10,train2000_2018_test2019_2021,2019-2021,1986.0,-0.0006831937431904344,-0.0037173835015706395,0.012635409989217156,0.38368580060422963,0.6163141993957704,0.051863041289023165,0.8784827123195702
15_30,15.0,30.0,all_score,-10,10,train2000_2021_test2022_2024,2022-2024,2124.0,0.00123017131033362,-0.001234409904537301,0.009851963557898127,0.4383239171374765,0.5616760828625236,0.0908662900188324,0.8127746390458255
15_30,15.0,30.0,leading,1,10,train2000_2009_test2010_2012,2010-2012,659.0,-0.00363472868883349,-0.004040660447655383,0.012290736514856744,0.3292867981790592,0.6707132018209409,0.08042488619119878,0.7572078907435509
15_30,15.0,30.0,leading,1,10,train2000_2012_test2013_2015,2013-2015,697.0,-0.0031375902769777433,-0.004496960530651958,0.009453913502718243,0.28263988522238165,0.7173601147776184,0.0746054519368723,0.8421807747489239
15_30,15.0,30.0,leading,1,10,train2000_2015_test2016_2018,2016-2018,700.0,-0.009834845341233404,-0.009849415145306864,0.008642028906527684,0.12571428571428572,0.8742857142857143,0.03571428571428571,0.8352380952380953
15_30,15.0,30.0,leading,1,10,train2000_2018_test2019_2021,2019-2021,588.0,-0.00560015835721628,-0.006088913023301414,0.004629472034390103,0.09013605442176871,0.9098639455782312,0.0391156462585034,0.8945578231292517
15_30,15.0,30.0,leading,1,10,train2000_2021_test2022_2024,2022-2024,626.0,-0.0037591334549913927,-0.003969045611623189,0.003158574336144556,0.12460063897763578,0.8753993610223643,0.134185303514377,0.8423855165069222
15_30,15.0,30.0,tied,0,0,train2000_2009_test2010_2012,2010-2012,101.0,-0.01029576259275084,-0.009909416984605113,0.014077222748939251,0.27722772277227725,0.7227722772277227,0.009900990099009901,0.8415841584158416
15_30,15.0,30.0,tied,0,0,train2000_2012_test2013_2015,2013-2015,124.0,0.002078272761126929,0.0013409386174468565,0.008695247144165879,0.5887096774193549,0.4112903225806452,0.12903225806451613,0.8091397849462365
15_30,15.0,30.0,tied,0,0,train2000_2015_test2016_2018,2016-2018,123.0,-0.01032433429779011,-0.011213541407160911,0.009390555635876817,0.14634146341463414,0.8536585365853658,0.04065040650406504,0.8726287262872628
15_30,15.0,30.0,tied,0,0,train2000_2018_test2019_2021,2019-2021,88.0,-0.0037484332904207033,-0.001913951250379198,0.010958086807950585,0.4431818181818182,0.5568181818181818,0.10227272727272728,0.875
15_30,15.0,30.0,tied,0,0,train2000_2021_test2022_2024,2022-2024,94.0,-0.004031669583400476,-0.00491761791020405,0.005403393982553424,0.20212765957446807,0.7978723404255319,0.06382978723404255,0.8617021276595747
15_30,15.0,30.0,trailing,-10,-1,train2000_2009_test2010_2012,2010-2012,1625.0,0.014812910685552459,0.013974655884101113,0.029526054820581054,0.5913846153846154,0.4086153846153846,0.024,0.8642051282051282
15_30,15.0,30.0,trailing,-10,-1,train2000_2012_test2013_2015,2013-2015,1707.0,0.006599983982045545,0.005389652990094226,0.018536657950124425,0.5746924428822495,0.4253075571177504,0.026947861745752782,0.859402460456942
15_30,15.0,30.0,trailing,-10,-1,train2000_2015_test2016_2018,2016-2018,1560.0,-0.0025926659712959964,-0.003917988412586615,0.016442721471255486,0.4185897435897436,0.5814102564102565,0.04487179487179487,0.8506410256410255
