time_left_game,score_diff_offense,tau_catboost,sign_catboost,tau_xgb,sign_xgb,tau_lgbm,sign_lgbm,positive_share,negative_share,neutral_share,agreement_ratio,is_unanimous,has_pos_neg_conflict,mean_tau,std_tau,majority_positive,majority_negative,majority_neutral,majority_sign
24.0,-8.0,0.00028802614542655647,1,0.0037319499533623457,1,-9.487442002864555e-05,-1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.001308367226253419,0.001720846329980694,True,False,False,1
24.0,-7.0,0.0114718247205019,1,0.013564920984208584,1,0.008839991874992847,1,1.0,0.0,0.0,1.0,True,False,0.01129224585990111,0.001933119275016342,True,False,False,1
24.0,-6.0,0.008751536719501019,1,0.015666063874959946,1,0.012195700779557228,1,1.0,0.0,0.0,1.0,True,False,0.012204433791339397,0.002822850644887873,True,False,False,1
24.0,-5.0,0.0037716368678957224,1,0.013014768250286579,1,0.0033916982356458902,1,1.0,0.0,0.0,1.0,True,False,0.006726034451276064,0.004449510680002307,True,False,False,1
24.0,-4.0,-0.0015842277789488435,-1,0.0049148183315992355,1,0.009523839689791203,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.004284810080813865,0.004556678140894852,True,False,False,1
24.0,-3.0,-0.005313345231115818,-1,0.004709935747087002,1,0.005929477512836456,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.0017753560096025467,0.005037134402926819,True,False,False,1
24.0,-2.0,-0.0019691961351782084,-1,0.005433629732578993,1,0.006629593204706907,1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.0033646756007025638,0.0038030884754180943,True,False,False,1
24.0,-1.0,0.008366641588509083,1,0.00487864064052701,1,0.010757610201835632,1,1.0,0.0,0.0,1.0,True,False,0.008000964143623909,0.002413967794727405,True,False,False,1
24.0,0.0,0.0009373052744194865,1,-0.001552460715174675,-1,-0.0006760492688044906,-1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.00043040156985322636,0.0010311775678756745,False,True,False,-1
24.0,1.0,0.0009762030094861984,1,0.0016262154094874859,1,-0.0003649011778179556,-1,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,False,True,0.0007458390803852429,0.0008290303456182367,True,False,False,1
