time_left_game,score_diff,tau_wp,b_hat,cell_count,cell_density,tau_sensitivity,abs_difference,supported,tau_wp_sign,tau_sensitivity_sign,sign_flip,time_band
153.75,8.0,-0.0010273662240554,-0.0014208205199489,400,35.55555555555556,0.00039345429589350014,0.0014208205199489,True,negative,positive,True,120_180
153.75,9.0,-0.0010273662240554,-0.0014141126885078,354,31.466666666666665,0.00038674646445240003,0.0014141126885078,True,negative,positive,True,120_180
153.75,10.0,-0.0011330070750166,-0.0014110124708774,318,28.266666666666666,0.0002780053958607999,0.0014110124708774,True,negative,positive,True,120_180
165.0,-10.0,0.0031314244649062,-0.0015472578428064,395,35.111111111111114,0.0046786823077126,0.0015472578428064,True,positive,positive,False,120_180
165.0,-9.0,0.001967891662692,-0.0015474510146304,408,36.266666666666666,0.0035153426773224,0.0015474510146303998,True,positive,positive,False,120_180
165.0,-8.0,0.0002538089029258,-0.0015487038763239,396,35.2,0.0018025127792497,0.0015487038763239,True,positive,positive,False,120_180
165.0,-7.0,0.0056642863589028,-0.0015466403371344,479,42.577777777777776,0.0072109266960371995,0.0015466403371343996,True,positive,positive,False,120_180
165.0,-6.0,0.003898500620077,-0.001505704713054,488,43.37777777777778,0.005404205333131,0.001505704713054,True,positive,positive,False,120_180
165.0,-5.0,0.00438100247023,-0.0015082911510641,526,46.75555555555555,0.0058892936212941,0.0015082911510640997,True,positive,positive,False,120_180
165.0,-4.0,0.0050917789340019,-0.0014879691492145,575,51.11111111111112,0.0065797480832164,0.0014879691492144997,True,positive,positive,False,120_180
165.0,-3.0,0.005238931470861,-0.0015300522791221,596,52.977777777777774,0.0067689837499831,0.0015300522791221,True,positive,positive,False,120_180
165.0,-2.0,0.0050781715350846,-0.001543019277354,730,64.88888888888889,0.0066211908124386,0.0015430192773539997,True,positive,positive,False,120_180
165.0,-1.0,0.0046559019635121,-0.0015395120717585,631,56.08888888888889,0.0061954140352706,0.0015395120717585,True,positive,positive,False,120_180
165.0,0.0,0.0020735669143808,-0.001490498931768,702,62.4,0.0035640658461488003,0.0014904989317680003,True,positive,positive,False,120_180
165.0,1.0,0.0006083836002896,-0.0015079302247613,600,53.333333333333336,0.0021163138250509,0.0015079302247612998,True,positive,positive,False,120_180
165.0,2.0,-0.0009104160932717,-0.0014478457936396,624,55.46666666666667,0.0005374297003678999,0.0014478457936396,True,negative,positive,True,120_180
165.0,3.0,-0.0018475798812384,-0.0015052326489239,556,49.422222222222224,-0.0003423472323144999,0.0015052326489239,True,negative,negative,False,120_180
165.0,4.0,0.0005775720346719,-0.0014650805387645,535,47.55555555555556,0.0020426525734363998,0.0014650805387644997,True,positive,positive,False,120_180
165.0,5.0,0.0004017541359644,-0.0014867459346229,464,41.24444444444445,0.0018885000705872999,0.0014867459346229,True,positive,positive,False,120_180
165.0,6.0,-0.0001416348168277,-0.0014450950548052,440,39.11111111111112,0.0013034602379775001,0.0014450950548052,True,negative,positive,True,120_180
165.0,7.0,-0.0009019983020455,-0.0014535584875072,403,35.82222222222222,0.0005515601854616999,0.0014535584875072,True,negative,positive,True,120_180
165.0,8.0,-0.0011245292262174,-0.0014755415419737,413,36.71111111111111,0.00035101231575629995,0.0014755415419737,True,negative,positive,True,120_180
165.0,9.0,-0.0011245292262174,-0.0014688336523249,343,30.488888888888887,0.0003443044261074999,0.0014688336523249,True,negative,positive,True,120_180
165.0,10.0,-0.0012301701159837,-0.0014657335123047,338,30.044444444444444,0.00023556339632100015,0.0014657335123047,True,negative,positive,True,120_180
176.25,-10.0,0.0028947429576267,-0.0015390376017118,395,35.111111111111114,0.0044337805593385,0.0015390376017118002,True,positive,positive,False,120_180
176.25,-9.0,0.0017312103106329,-0.0015392307735358,384,34.13333333333333,0.0032704410841687,0.0015392307735358,True,positive,positive,False,120_180
176.25,-8.0,1.7125091593091685e-05,-0.001540483518814,447,39.73333333333333,0.0015576086104070917,0.001540483518814,True,positive,positive,False,120_180
176.25,-7.0,0.0054276020576556,-0.0015387501334771,468,41.6,0.0069663521911327,0.0015387501334771002,True,positive,positive,False,120_180
176.25,-6.0,0.0038918529947598,-0.0015002614818513,473,42.04444444444445,0.0053921144766111,0.0015002614818513003,True,positive,positive,False,120_180
176.25,-5.0,0.0043743551553537,-0.0015027467549468,546,48.53333333333333,0.005877101910300501,0.0015027467549468005,True,positive,positive,False,120_180
176.25,-4.0,0.005085127428174,-0.0014812770920495,578,51.37777777777778,0.006566404520223499,0.0014812770920494996,True,positive,positive,False,120_180
176.25,-3.0,0.0052322791889309,-0.0015243723367651,597,53.06666666666667,0.0067566515256959996,0.0015243723367650997,True,positive,positive,False,120_180
176.25,-2.0,0.005071519408375,-0.0015373775968328,684,60.8,0.006608897005207799,0.0015373775968327997,True,positive,positive,False,120_180
176.25,-1.0,0.0046492510785659,-0.001534319249913,662,58.84444444444444,0.0061835703284789005,0.0015343192499130002,True,positive,positive,False,120_180
176.25,0.0,0.0020669190368304,-0.0014833256136626,718,63.82222222222222,0.003550244650493,0.0014833256136626,True,positive,positive,False,120_180
176.25,1.0,0.0003716995900807,-0.001503536865736,593,52.71111111111111,0.0018752364558167,0.001503536865736,True,positive,positive,False,120_180
176.25,2.0,-0.0008613389994328,-0.0014457116679598,668,59.37777777777778,0.000584372668527,0.0014457116679598,True,negative,positive,True,120_180
176.25,3.0,-0.0017985028098337,-0.0015046167342613,569,50.577777777777776,-0.00029388607557240005,0.0015046167342613,True,negative,negative,False,120_180
176.25,4.0,0.000626649086674,-0.0014672552545865,489,43.46666666666667,0.0020939043412605,0.0014672552545865,True,positive,positive,False,120_180
176.25,5.0,0.0004508312849793,-0.0014852996294697,482,42.84444444444444,0.001936130914449,0.0014852996294697,True,positive,positive,False,120_180
176.25,6.0,-9.255771631918226e-05,-0.0014433709826941,414,36.8,0.0013508132663749178,0.0014433709826941,True,negative,positive,True,120_180
176.25,7.0,-0.0008529212160889,-0.001451978033098,434,38.577777777777776,0.0005990568170091001,0.001451978033098,True,negative,positive,True,120_180
176.25,8.0,-0.0010754521742152,-0.0014739611263697,362,32.17777777777778,0.0003985089521545001,0.0014739611263697,True,negative,positive,True,120_180
176.25,9.0,-0.0010754521742152,-0.0014672532367209,345,30.666666666666668,0.00039180106250570005,0.0014672532367209,True,negative,positive,True,120_180
176.25,10.0,-0.0011810930639815,-0.0014641530967007,350,31.11111111111111,0.00028306003271919987,0.0014641530967007,True,negative,positive,True,120_180
187.5,-10.0,0.002749504482684,-0.0015311419265344,438,38.93333333333333,0.0042806464092183995,0.0015311419265343997,True,positive,positive,False,180_240
187.5,-9.0,0.0016619463373596,-0.0015313350983584,454,40.355555555555554,0.003193281435718,0.0015313350983584,True,positive,positive,False,180_240
187.5,-8.0,7.988537739341457e-05,-0.0015325879212468,440,39.11111111111112,0.0016124732986402145,0.0015325879212468,True,positive,positive,False,180_240
187.5,-7.0,0.005353277704368,-0.0015308543806895,484,43.02222222222223,0.0068841320850574995,0.0015308543806894998,True,positive,positive,False,180_240
187.5,-6.0,0.0041675919201225,-0.0014923658066739,551,48.977777777777774,0.0056599577267964,0.0014923658066739003,True,positive,positive,False,180_240
187.5,-5.0,0.0034440447731564,-0.0014948510797694,548,48.71111111111111,0.0049388958529258,0.0014948510797694,True,positive,positive,False,180_240
187.5,-4.0,0.0040789818546424,-0.0014746110343063,623,55.37777777777778,0.0055535928889487,0.0014746110343062998,True,positive,positive,False,180_240
187.5,-3.0,0.0042261323736359,-0.001517932745628,664,59.02222222222223,0.0057440651192638996,0.001517932745628,True,positive,positive,False,180_240
187.5,-2.0,0.0040653728259106,-0.0015304929111152,788,70.04444444444445,0.0055958657370258,0.0015304929111152003,True,positive,positive,False,180_240
187.5,-1.0,0.0034394361233959,-0.0015293553005903,723,64.26666666666667,0.0049687914239862005,0.0015293553005903005,True,positive,positive,False,180_240
187.5,0.0,0.0013889394273671,-0.0014777047714839,801,71.2,0.002866644198851,0.0014777047714839,True,positive,positive,False,180_240
187.5,1.0,0.000641488256709,-0.001497729603822,691,61.422222222222224,0.002139217860531,0.001497729603822,True,positive,positive,False,180_240
187.5,2.0,-0.0005189494307463,-0.0014364649541676,713,63.37777777777778,0.0009175155234212999,0.0014364649541676,True,negative,positive,True,180_240
187.5,3.0,-0.0011344435236727,-0.0014961697937299,614,54.577777777777776,0.00036172627005720006,0.0014961697937299,True,negative,positive,True,180_240
187.5,4.0,0.0010302616477323,-0.0014583030715584,609,54.13333333333333,0.0024885647192907003,0.0014583030715584003,True,positive,positive,False,180_240
187.5,5.0,0.0008340130152646,-0.0014767139218747,471,41.86666666666667,0.0023107269371393,0.0014767139218747,True,positive,positive,False,180_240
187.5,6.0,0.0003790618211496,-0.0014347851974889,483,42.93333333333333,0.0018138470186385,0.0014347851974888999,True,positive,positive,False,180_240
187.5,7.0,-0.0003813018362658,-0.001441799957926,474,42.13333333333333,0.0010604981216602,0.001441799957926,True,negative,positive,True,180_240
187.5,8.0,-0.00060383270223,-0.0014637830900028,486,43.2,0.0008599503877728001,0.0014637830900028,True,negative,positive,True,180_240
187.5,9.0,-0.00060383270223,-0.0014570752391591,443,39.37777777777778,0.0008532425369291001,0.0014570752391591,True,negative,positive,True,180_240
187.5,10.0,-0.0007094736113989,-0.0014542679612835,397,35.28888888888889,0.0007447943498846,0.0014542679612835,True,negative,positive,True,180_240
198.75,-10.0,0.0026078818288321,-0.0015079356962814,400,35.55555555555556,0.0041158175251135,0.0015079356962814003,True,positive,positive,False,180_240
198.75,-9.0,0.0015841203664119,-0.0015081288681055,384,34.13333333333333,0.0030922492345174003,0.0015081288681055003,True,positive,positive,False,180_240
198.75,-8.0,-8.143441906819741e-05,-0.0015093817686041,415,36.888888888888886,0.0014279473495359025,0.0015093817686041,True,negative,positive,True,180_240
