window,time_lo,time_hi,score_diff,n_three_point,mean_resid_three_point,n_two_point,mean_resid_two_point,observed_resid_diff_3pa_minus_2pa,b_hat,same_sign_as_b_hat_300,abs_ratio_observed_to_b_hat_300
295_300,295.0,300.0,7.0,63,-0.031239749304797445,189,0.025625996675516516,-0.056865745980313964,-0.0106712291017174,True,5.328884371076069
exact_300,300.0,300.0,-7.0,16,0.1112685750286957,40,0.03131441572966749,0.0799541592990282,0.0459457077085971,True,1.7401877843763767
exact_300,300.0,300.0,-6.0,18,0.08352795401064328,20,0.14470040013617913,-0.06117244612553585,0.0390860736370086,False,1.5650701243016336
exact_300,300.0,300.0,-5.0,15,0.11193087097226861,32,0.12362191272340733,-0.01169104175113872,0.045348010957241,False,0.25780715635272944
exact_300,300.0,300.0,-4.0,11,0.0820318328571738,38,-0.07244200731836212,0.15447384017553592,0.0407808236777782,True,3.787903878452312
exact_300,300.0,300.0,-3.0,13,0.048545427411750754,38,0.07397620993259406,-0.025430782520843305,0.0293028131127357,False,0.8678614719687265
exact_300,300.0,300.0,-2.0,9,0.16115105671859042,28,-0.09054788704341951,0.25169894376200996,0.0221689362078905,True,11.35367711836456
exact_300,300.0,300.0,-1.0,17,0.03821590115424212,28,0.006585154119718888,0.03163074703452323,0.0214858762919902,True,1.4721646259461605
exact_300,300.0,300.0,0.0,19,0.000303623343753679,34,0.019401998107330294,-0.019098374763576616,0.0110215172171592,False,1.7328262876405713
exact_300,300.0,300.0,1.0,8,-0.03629198059638038,41,-0.04645994236963677,0.010167961773256393,-0.0141985481604933,False,0.7161268644035171
exact_300,300.0,300.0,2.0,12,-0.18568589222820897,38,0.11405120235344034,-0.2997370945816493,-0.0242698602378368,True,12.350178025102844
exact_300,300.0,300.0,3.0,15,-0.08163758121676432,37,0.025685381555498005,-0.10732296277226232,-0.0233750734478235,True,4.5913422694402435
exact_300,300.0,300.0,4.0,16,0.03750342781619366,38,-0.026914621708503495,0.06441804952469715,-0.016815872862935,False,3.8307883301547383
exact_300,300.0,300.0,5.0,15,-0.03174094995447595,27,-0.05564314910711922,0.023902199152643272,-0.020019419491291,False,1.193950661908123
exact_300,300.0,300.0,6.0,15,0.09562224044932996,29,-0.017977343059507406,0.11359958350883737,-0.0120790787041187,False,9.40465628973031
exact_300,300.0,300.0,7.0,9,0.008036001386103227,41,0.05523072213296382,-0.0471947207468606,-0.0106712291017174,True,4.422613393171852
270_285,270.0,285.0,-7.0,214,-0.0060397386322284825,455,-0.003317636612715236,-0.0027221020195132466,0.0459457077085971,False,0.05924605703709516
270_285,270.0,285.0,-6.0,210,0.015359760841604892,485,-0.014709036030089846,0.03006879687169474,0.0390860736370086,True,0.7692969406685081
270_285,270.0,285.0,-5.0,239,0.016393890599153273,515,0.028923207751790428,-0.012529317152637155,0.045348010957241,False,0.2762925404699921
270_285,270.0,285.0,-4.0,210,0.02123685376856977,535,0.041500721920896606,-0.020263868152326836,0.0407808236777782,False,0.49689698061122733
270_285,270.0,285.0,-3.0,229,0.0008922323932385641,547,0.002476566788069913,-0.001584334394831349,0.0293028131127357,False,0.05406765516798657
270_285,270.0,285.0,-2.0,216,0.0135994389041993,623,0.02581651523233123,-0.012217076328131928,0.0221689362078905,False,0.5510898770047231
270_285,270.0,285.0,-1.0,232,-0.032083926619596186,568,0.009094990890642564,-0.04117891751023875,0.0214858762919902,False,1.9165575073887022
270_285,270.0,285.0,0.0,607,-0.002912632380180668,1928,-0.008339110353502389,0.005426477973321721,0.0110215172171592,True,0.4923530822846546
270_285,270.0,285.0,1.0,226,0.05513690701268199,563,0.012085873102112541,0.043051033910569456,-0.0141985481604933,False,3.032072957315217
270_285,270.0,285.0,2.0,216,0.005468903035397981,491,-0.016927806627284887,0.022396709662682868,-0.0242698602378368,False,0.9228198861963909
270_285,270.0,285.0,3.0,229,-0.013093999358354251,523,0.0238593501603225,-0.03695334951867675,-0.0233750734478235,True,1.5808869906296508
270_285,270.0,285.0,4.0,183,0.008618696231753212,517,0.015400693839998968,-0.0067819976082457555,-0.016815872862935,True,0.403309281862758
270_285,270.0,285.0,5.0,191,-0.02557789589154497,479,-0.0026663202428590443,-0.022911575648685924,-0.020019419491291,True,1.1444675335692471
270_285,270.0,285.0,6.0,188,0.018865297398666128,426,0.015868070565443745,0.002997226833222382,-0.0120790787041187,False,0.24813372829505564
270_285,270.0,285.0,7.0,169,0.03481335987515493,438,0.020630236250767348,0.014183123624387582,-0.0106712291017174,False,1.3290993464009677
240_285,240.0,285.0,-7.0,568,0.00722236961373927,1290,0.010100267335869094,-0.0028778977221298246,0.0459457077085971,False,0.062636922264478
240_285,240.0,285.0,-6.0,640,-0.019339186312556024,1369,0.00022725888542162614,-0.01956644519797765,0.0390860736370086,False,0.5005988930914561
240_285,240.0,285.0,-5.0,633,0.03242874177825639,1455,0.006888452096129382,0.025540289682127005,0.045348010957241,True,0.5632063930259068
240_285,240.0,285.0,-4.0,579,-0.00037707883334755436,1545,0.020257970304107066,-0.02063504913745462,0.0407808236777782,False,0.505998831718027
240_285,240.0,285.0,-3.0,721,-0.0018222668467054038,1657,0.0009141222734393744,-0.0027363891201447783,0.0293028131127357,False,0.09338315436190932
