time_left_game,score_diff,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_std_across_models,tau_sign_agree_ratio,tau_sign_disagree,n_in_cell,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p,shown_in_figure
63.75,4.0,2.330543308441217e-05,2.330543308441217e-05,-9.213604062097148e-05,-0.000859540188685,0.0010215925285592,0.0007722953344242,0.3333333333333333,1,575,575,6.3561076606958915,11.25,51.111111111111114,3.95337819111006,True
63.75,5.0,-0.0006725757023862,-0.0006725757023862,-0.000111781846499,-0.0021326679270714,0.0002267226664116,0.0010416487907014,0.3333333333333333,1,510,510,6.236369590203704,11.25,45.333333333333336,3.835861644462582,True
63.75,6.0,-0.0009578513418091,-0.0009578513418091,-0.0006507593207061,-0.0020470577292144,-0.0001757369755068,0.000794224767885,0.0,0,524,524,6.263398262591624,11.25,46.577777777777776,3.862365798819363,True
63.75,7.0,-0.0017182172935766,-0.0017182172935766,-0.0007346497732214,-0.003620658069849,-0.0007993440376594,0.0013454880198601,0.0,0,431,431,6.068425588244111,11.25,38.31111111111111,3.6715072043894654,True
63.75,8.0,-0.0019057474176709,-0.0019057474176709,-0.0010448868852108,-0.003620658069849,-0.001051697297953,0.0012126281386986,0.0,0,414,414,6.028278520230698,11.25,36.8,3.632309102625542,True
63.75,9.0,-0.0019057474176709,-0.0019057474176709,-0.0010448868852108,-0.003620658069849,-0.001051697297953,0.0012126281386986,0.0,0,362,362,5.8944028342648505,11.25,32.17777777777778,3.5018803077688707,True
63.75,10.0,-0.0020113883074373,-0.0020113883074373,-0.0013618095545098,-0.003620658069849,-0.001051697297953,0.0011449466593328,0.0,0,344,344,5.84354441703136,11.25,30.57777777777778,3.452453638326781,True
75.0,-10.0,0.0025504454194257,0.0025504454194257,0.0039766798727214,0.002337503246963,0.0013371531385928,0.0010880513534616,1.0,0,501,501,6.218600119691729,11.25,44.53333333333333,3.81844465846858,True
75.0,-9.0,0.001386916594735,0.001386916594735,0.0022144543472677,0.0014592370716854,0.0004870583652518,0.0007070581815809,1.0,0,481,481,6.1779441140506,11.25,42.75555555555555,3.778618588868806,True
75.0,-8.0,-0.0005931269115535,-0.0005931269115535,-0.0001673597289482,-0.0011578579433262,-0.0004541630623862,0.0004161369099251,0.0,0,488,488,6.192362489474872,11.25,43.37777777777778,3.7927388436454956,True
75.0,-7.0,0.0049937676327923,0.0049937676327923,0.0054729832336306,0.0057644168846309,0.0037439027801156,0.0008917604333382,1.0,0,534,534,6.282266746896006,11.25,47.46666666666667,3.880876276431309,True
75.0,-6.0,0.0035087568685412,0.0035087568685412,0.0040453462861478,0.0035100937820971,0.0029708305373787,0.0004386702361239,1.0,0,614,614,6.421622267806518,11.25,54.577777777777776,4.0177834411073,True
75.0,-5.0,0.0041527152837564,0.0041527152837564,0.0036217577289789,0.0056540193036198,0.0031823688186705,0.0010766308478053,1.0,0,593,593,6.386879319362645,11.25,52.71111111111111,3.9836198909331633,True
75.0,-4.0,0.0024861977435648,0.0024861977435648,0.0023625732865184,0.002640705788508,0.002455314155668,0.0001156280507108,1.0,0,587,587,6.376726947898627,11.25,52.17777777777778,3.9736405981380534,True
75.0,-3.0,0.002958473128577,0.002958473128577,0.002256715670228,0.0037866439670324,0.0028320597484707,0.0006309545178236,1.0,0,661,661,6.495265555937008,11.25,58.75555555555555,4.090262166498545,True
75.0,-2.0,0.0029227312188595,0.0029227312188595,0.0021494899410754,0.0037866439670324,0.0028320597484707,0.0006714334480962,1.0,0,661,661,6.495265555937008,11.25,58.75555555555555,4.090262166498545,True
75.0,-1.0,0.0029402811390658,0.0029402811390658,0.0023478886578232,0.0044108303263783,0.0020621244329959,0.0010463592379538,1.0,0,712,712,6.569481420414296,11.25,63.28888888888889,4.163386815205816,True
75.0,0.0,0.0001736726844683,0.0001736726844683,-0.0010199714452028,0.0010477530304342,0.0004932364681735,0.0008738656974154,0.6666666666666666,1,685,685,6.530877627725885,11.25,60.888888888888886,4.125340662591064,True
75.0,1.0,-0.0007835121262663,-0.0007835121262663,-0.0015163519419729,0.0001038983173202,-0.0009380827541463,0.0006704335835548,0.3333333333333333,1,634,634,6.453624998892692,11.25,56.355555555555554,4.049269709948294,True
75.0,2.0,-0.0022412179969251,-0.0022412179969251,-0.0039867139421403,-0.001753322314471,-0.0009836177341639,0.0012736243183159,0.0,0,719,719,6.579251212010101,11.25,63.91111111111111,4.173018812617421,True
75.0,3.0,-0.0043581433904667,-0.0043581433904667,-0.0049892677925527,-0.0050334450788795,-0.003051717299968,0.0009239587853754,0.0,0,630,630,6.447305862541213,11.25,56.0,4.04305126783455,True
75.0,4.0,-0.0003454244773214,-0.0003454244773214,-2.6462716050446037e-05,-0.0015476886183023,0.0005378779023885,0.0008807948614448,0.3333333333333333,1,567,567,6.342121418721152,11.25,50.4,3.9396381724611196,True
