time_left_game,score_diff,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p
8.0,-5.0,185,5.225746673713202,1.0,185.0,5.225746673713202
8.0,-4.0,187,5.236441962829949,1.0,187.0,5.236441962829949
8.0,-3.0,160,5.081404364984463,1.0,160.0,5.081404364984463
8.0,-2.0,109,4.700480365792417,1.0,109.0,4.700480365792417
8.0,-1.0,81,4.406719247264253,1.0,81.0,4.406719247264253
8.0,0.0,68,4.23410650459726,1.0,68.0,4.23410650459726
8.0,1.0,64,4.174387269895637,1.0,64.0,4.174387269895637
8.0,2.0,44,3.8066624897703196,1.0,44.0,3.8066624897703196
8.0,3.0,44,3.8066624897703196,1.0,44.0,3.8066624897703196
8.0,4.0,8,2.1972245773362196,1.0,8.0,2.1972245773362196
8.0,5.0,12,2.5649493574615367,1.0,12.0,2.5649493574615367
8.0,6.0,10,2.3978952727983707,1.0,10.0,2.3978952727983707
8.0,7.0,11,2.4849066497880004,1.0,11.0,2.4849066497880004
8.0,8.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
8.0,9.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
8.0,10.0,18,2.9444389791664403,1.0,18.0,2.9444389791664403
9.0,-10.0,70,4.2626798770413155,1.0,70.0,4.2626798770413155
9.0,-9.0,81,4.406719247264253,1.0,81.0,4.406719247264253
9.0,-8.0,110,4.709530201312334,1.0,110.0,4.709530201312334
9.0,-7.0,135,4.912654885736052,1.0,135.0,4.912654885736052
9.0,-6.0,142,4.962844630259907,1.0,142.0,4.962844630259907
9.0,-5.0,149,5.0106352940962555,1.0,149.0,5.0106352940962555
9.0,-4.0,166,5.117993812416755,1.0,166.0,5.117993812416755
9.0,-3.0,141,4.955827057601261,1.0,141.0,4.955827057601261
9.0,-2.0,105,4.663439094112067,1.0,105.0,4.663439094112067
9.0,-1.0,89,4.499809670330265,1.0,89.0,4.499809670330265
9.0,0.0,50,3.9318256327243257,1.0,50.0,3.9318256327243257
9.0,1.0,55,4.02535169073515,1.0,55.0,4.02535169073515
9.0,2.0,58,4.07753744390572,1.0,58.0,4.07753744390572
9.0,3.0,46,3.8501476017100584,1.0,46.0,3.8501476017100584
9.0,4.0,9,2.302585092994046,1.0,9.0,2.302585092994046
9.0,5.0,7,2.0794415416798357,1.0,7.0,2.0794415416798357
9.0,6.0,9,2.302585092994046,1.0,9.0,2.302585092994046
9.0,7.0,15,2.772588722239781,1.0,15.0,2.772588722239781
9.0,8.0,19,2.995732273553991,1.0,19.0,2.995732273553991
9.0,9.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
9.0,10.0,15,2.772588722239781,1.0,15.0,2.772588722239781
10.0,-10.0,62,4.143134726391533,1.0,62.0,4.143134726391533
10.0,-9.0,116,4.762173934797756,1.0,116.0,4.762173934797756
10.0,-8.0,121,4.804021044733257,1.0,121.0,4.804021044733257
10.0,-7.0,138,4.9344739331306915,1.0,138.0,4.9344739331306915
10.0,-6.0,155,5.049856007249537,1.0,155.0,5.049856007249537
10.0,-5.0,173,5.159055299214529,1.0,173.0,5.159055299214529
10.0,-4.0,180,5.198497031265826,1.0,180.0,5.198497031265826
10.0,-3.0,179,5.19295685089021,1.0,179.0,5.19295685089021
10.0,-2.0,96,4.574710978503383,1.0,96.0,4.574710978503383
10.0,-1.0,84,4.442651256490317,1.0,84.0,4.442651256490317
10.0,0.0,47,3.8712010109078907,1.0,47.0,3.8712010109078907
10.0,1.0,60,4.110873864173311,1.0,60.0,4.110873864173311
10.0,2.0,75,4.330733340286331,1.0,75.0,4.330733340286331
10.0,3.0,49,3.912023005428146,1.0,49.0,3.912023005428146
10.0,4.0,8,2.1972245773362196,1.0,8.0,2.1972245773362196
10.0,5.0,6,1.9459101490553132,1.0,6.0,1.9459101490553132
10.0,6.0,11,2.4849066497880004,1.0,11.0,2.4849066497880004
10.0,7.0,6,1.9459101490553132,1.0,6.0,1.9459101490553132
10.0,8.0,18,2.9444389791664403,1.0,18.0,2.9444389791664403
10.0,9.0,16,2.833213344056216,1.0,16.0,2.833213344056216
10.0,10.0,25,3.258096538021482,1.0,25.0,3.258096538021482
11.0,-10.0,66,4.204692619390966,1.0,66.0,4.204692619390966
11.0,-9.0,91,4.5217885770490405,1.0,91.0,4.5217885770490405
11.0,-8.0,126,4.844187086458591,1.0,126.0,4.844187086458591
11.0,-7.0,132,4.890349128221754,1.0,132.0,4.890349128221754
11.0,-6.0,143,4.969813299576001,1.0,143.0,4.969813299576001
11.0,-5.0,157,5.062595033026967,1.0,157.0,5.062595033026967
11.0,-4.0,154,5.043425116919247,1.0,154.0,5.043425116919247
11.0,-3.0,142,4.962844630259907,1.0,142.0,4.962844630259907
11.0,-2.0,97,4.584967478670572,1.0,97.0,4.584967478670572
11.0,-1.0,80,4.394449154672439,1.0,80.0,4.394449154672439
11.0,0.0,53,3.9889840465642745,1.0,53.0,3.9889840465642745
11.0,1.0,64,4.174387269895637,1.0,64.0,4.174387269895637
11.0,2.0,47,3.8712010109078907,1.0,47.0,3.8712010109078907
11.0,3.0,55,4.02535169073515,1.0,55.0,4.02535169073515
11.0,4.0,18,2.9444389791664403,1.0,18.0,2.9444389791664403
11.0,5.0,8,2.1972245773362196,1.0,8.0,2.1972245773362196
11.0,6.0,11,2.4849066497880004,1.0,11.0,2.4849066497880004
11.0,7.0,11,2.4849066497880004,1.0,11.0,2.4849066497880004
11.0,8.0,14,2.70805020110221,1.0,14.0,2.70805020110221
11.0,9.0,26,3.295836866004329,1.0,26.0,3.295836866004329
11.0,10.0,21,3.091042453358316,1.0,21.0,3.091042453358316
12.0,-10.0,58,4.07753744390572,1.0,58.0,4.07753744390572
12.0,-9.0,85,4.454347296253507,1.0,85.0,4.454347296253507
12.0,-8.0,132,4.890349128221754,1.0,132.0,4.890349128221754
12.0,-7.0,156,5.056245805348308,1.0,156.0,5.056245805348308
12.0,-6.0,126,4.844187086458591,1.0,126.0,4.844187086458591
12.0,-5.0,129,4.867534450455582,1.0,129.0,4.867534450455582
12.0,-4.0,144,4.976733742420574,1.0,144.0,4.976733742420574
12.0,-3.0,112,4.727387818712341,1.0,112.0,4.727387818712341
12.0,-2.0,93,4.543294782270004,1.0,93.0,4.543294782270004
12.0,-1.0,75,4.330733340286331,1.0,75.0,4.330733340286331
12.0,0.0,54,4.007333185232471,1.0,54.0,4.007333185232471
12.0,1.0,73,4.304065093204169,1.0,73.0,4.304065093204169
12.0,2.0,67,4.219507705176107,1.0,67.0,4.219507705176107
12.0,3.0,52,3.970291913552122,1.0,52.0,3.970291913552122
12.0,4.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
12.0,5.0,10,2.3978952727983707,1.0,10.0,2.3978952727983707
12.0,6.0,6,1.9459101490553132,1.0,6.0,1.9459101490553132
12.0,7.0,8,2.1972245773362196,1.0,8.0,2.1972245773362196
12.0,8.0,12,2.5649493574615367,1.0,12.0,2.5649493574615367
12.0,9.0,35,3.58351893845611,1.0,35.0,3.58351893845611
12.0,10.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
13.0,-10.0,70,4.2626798770413155,1.0,70.0,4.2626798770413155
13.0,-9.0,106,4.672828834461906,1.0,106.0,4.672828834461906
13.0,-8.0,107,4.68213122712422,1.0,107.0,4.68213122712422
13.0,-7.0,146,4.990432586778736,1.0,146.0,4.990432586778736
13.0,-6.0,144,4.976733742420574,1.0,144.0,4.976733742420574
13.0,-5.0,127,4.852030263919617,1.0,127.0,4.852030263919617
13.0,-4.0,152,5.030437921392435,1.0,152.0,5.030437921392435
13.0,-3.0,128,4.859812404361672,1.0,128.0,4.859812404361672
13.0,-2.0,78,4.3694478524670215,1.0,78.0,4.3694478524670215
13.0,-1.0,79,4.382026634673881,1.0,79.0,4.382026634673881
13.0,0.0,40,3.713572066704308,1.0,40.0,3.713572066704308
13.0,1.0,54,4.007333185232471,1.0,54.0,4.007333185232471
13.0,2.0,56,4.04305126783455,1.0,56.0,4.04305126783455
13.0,3.0,59,4.0943445622221,1.0,59.0,4.0943445622221
13.0,4.0,23,3.1780538303479458,1.0,23.0,3.1780538303479458
13.0,5.0,11,2.4849066497880004,1.0,11.0,2.4849066497880004
13.0,6.0,12,2.5649493574615367,1.0,12.0,2.5649493574615367
13.0,7.0,10,2.3978952727983707,1.0,10.0,2.3978952727983707
13.0,8.0,23,3.1780538303479458,1.0,23.0,3.1780538303479458
13.0,9.0,28,3.367295829986474,1.0,28.0,3.367295829986474
13.0,10.0,16,2.833213344056216,1.0,16.0,2.833213344056216
14.0,-10.0,66,4.204692619390966,1.0,66.0,4.204692619390966
14.0,-9.0,106,4.672828834461906,1.0,106.0,4.672828834461906
14.0,-8.0,147,4.997212273764115,1.0,147.0,4.997212273764115
14.0,-7.0,120,4.795790545596741,1.0,120.0,4.795790545596741
14.0,-6.0,129,4.867534450455582,1.0,129.0,4.867534450455582
14.0,-5.0,128,4.859812404361672,1.0,128.0,4.859812404361672
14.0,-4.0,131,4.882801922586371,1.0,131.0,4.882801922586371
14.0,-3.0,129,4.867534450455582,1.0,129.0,4.867534450455582
14.0,-2.0,84,4.442651256490317,1.0,84.0,4.442651256490317
14.0,-1.0,74,4.31748811353631,1.0,74.0,4.31748811353631
14.0,0.0,50,3.9318256327243257,1.0,50.0,3.9318256327243257
14.0,1.0,50,3.9318256327243257,1.0,50.0,3.9318256327243257
14.0,2.0,68,4.23410650459726,1.0,68.0,4.23410650459726
14.0,3.0,57,4.060443010546419,1.0,57.0,4.060443010546419
14.0,4.0,18,2.9444389791664403,1.0,18.0,2.9444389791664403
14.0,5.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
14.0,6.0,13,2.639057329615259,1.0,13.0,2.639057329615259
14.0,7.0,9,2.302585092994046,1.0,9.0,2.302585092994046
14.0,8.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
14.0,9.0,19,2.995732273553991,1.0,19.0,2.995732273553991
14.0,10.0,17,2.8903717578961645,1.0,17.0,2.8903717578961645
15.0,-10.0,86,4.465908118654584,1.0,86.0,4.465908118654584
15.0,-9.0,91,4.5217885770490405,1.0,91.0,4.5217885770490405
15.0,-8.0,108,4.6913478822291435,1.0,108.0,4.6913478822291435
15.0,-7.0,120,4.795790545596741,1.0,120.0,4.795790545596741
15.0,-6.0,116,4.762173934797756,1.0,116.0,4.762173934797756
15.0,-5.0,136,4.919980925828125,1.0,136.0,4.919980925828125
15.0,-4.0,131,4.882801922586371,1.0,131.0,4.882801922586371
15.0,-3.0,125,4.836281906951478,1.0,125.0,4.836281906951478
15.0,-2.0,82,4.418840607796598,1.0,82.0,4.418840607796598
15.0,-1.0,104,4.653960350157523,1.0,104.0,4.653960350157523
15.0,0.0,46,3.8501476017100584,1.0,46.0,3.8501476017100584
