season,variant,region,n,mean_pred,empirical_win_rate,bias,brier,log_loss,ece,mce
2011,none,global_next_offense_excl_terminal,160824.0,0.5006673745973471,0.4979231955429538,0.0027441790543933364,0.16790219238276555,0.494766939940488,0.0067830025664247775,0.021302766928254696
2012,none,global_next_offense_excl_terminal,201131.0,0.500286935763845,0.4946378231103112,0.005649112653533794,0.16683482967545946,0.493471724056496,0.01072800035304163,0.02546468570780447
2013,none,global_next_offense_excl_terminal,203711.0,0.5002587081961873,0.4946762815950047,0.005582426601182633,0.16838033065101907,0.49572022954904393,0.008738485527944716,0.022540022895577216
2014,none,global_next_offense_excl_terminal,208535.0,0.49918175411739063,0.49431510298031506,0.004866651137075573,0.1660919212609947,0.489729898475177,0.010577986357935911,0.032624269961856245
2015,none,global_next_offense_excl_terminal,211146.0,0.5017335264971687,0.4939331078969055,0.007800418600263259,0.16703816021589823,0.4940416682374794,0.013030632246553537,0.03175916286021252
2016,none,global_next_offense_excl_terminal,212280.0,0.49965539325444003,0.496448087431694,0.0032073058227460316,0.17137243391318496,0.5040174184896102,0.01257946967783533,0.03081646653974668
2017,none,global_next_offense_excl_terminal,215483.0,0.501609202325763,0.49856833253667343,0.003040869789089573,0.1736577170272671,0.509749489279242,0.0079700953837613,0.03282881829104367
2018,none,global_next_offense_excl_terminal,224295.0,0.49981621668650283,0.49817873782295635,0.001637478863546482,0.1701252653868915,0.5025518973841647,0.008675997465675114,0.024796806750994826
2019,none,global_next_offense_excl_terminal,189622.0,0.49925581737433433,0.4971627764710846,0.0020930409032497432,0.17436253751356526,0.5128452311580354,0.012126706368861482,0.029258878944557476
2020,none,global_next_offense_excl_terminal,193790.0,0.5023007575533311,0.5017441560452036,0.00055660150812753,0.16872670266181652,0.49628867173932295,0.00973836783050015,0.03868383077284154
2021,none,global_next_offense_excl_terminal,216496.0,0.5015190264345576,0.4991039095410539,0.0024151168935037104,0.1710138593749802,0.50290239760823,0.012454021083415224,0.026406832944868758
2022,none,global_next_offense_excl_terminal,216964.0,0.49980061831709316,0.4983176932578677,0.0014829250592254817,0.17405069687855176,0.5111248876148476,0.010497727044507124,0.037119228359591805
2023,none,global_next_offense_excl_terminal,218036.0,0.4995435124551094,0.4963354675374709,0.0032080449176385417,0.16711287853676182,0.4934091454408013,0.01006026215789586,0.026570383196926617
2024,none,global_next_offense_excl_terminal,219184.0,0.49929078690317824,0.4970025184320023,0.002288268471175914,0.16874410174206833,0.4964076279144897,0.012081531861939884,0.02951619798531402
2000,none,local_late45_abs7_next_offense,1951.0,0.370244854367077,0.31522296258329063,0.05502189178378636,0.11411784353777266,0.37227763939658165,0.0711586897453699,0.233020132438146
2001,none,local_late45_abs7_next_offense,2066.0,0.3582825106013751,0.2899322362052275,0.0683502743961476,0.10962305988635122,0.3557300171345952,0.08598587781356917,0.3313716376152449
2002,none,local_late45_abs7_next_offense,2066.0,0.35988360194728863,0.30784123910939015,0.05204236283789848,0.10548438105815779,0.3459319849522898,0.0705804764224711,0.16480152970363504
2003,none,local_late45_abs7_next_offense,2062.0,0.3526484405447757,0.28612997090203685,0.06651846964273883,0.11718177374546024,0.38072676692591934,0.08499302803297484,0.2857722950893463
2004,none,local_late45_abs7_next_offense,2108.0,0.3574931511094735,0.2926944971537002,0.06479865395577328,0.12335445236550725,0.395098834543071,0.08085005238650772,0.3260865964835109
2005,none,local_late45_abs7_next_offense,2161.0,0.3699703595242633,0.3322535863026377,0.037716773221625643,0.12039054326433091,0.386456215522638,0.05969773763735502,0.25418440876686677
2006,none,local_late45_abs7_next_offense,2247.0,0.3642347011139477,0.312861593235425,0.05137310787852267,0.13052937142598947,0.4122892696049729,0.06045722498933536,0.2542906831796028
2007,none,local_late45_abs7_next_offense,1924.0,0.3651047267852667,0.31756756756756754,0.04753715921769913,0.10493540356631402,0.34755297354922293,0.08571994428693494,0.32431909521364144
2008,none,local_late45_abs7_next_offense,2127.0,0.35696779532781947,0.3013634226610249,0.05560437266679458,0.11578440485243759,0.3705156498727224,0.06654654238252294,0.19492879945696662
2009,none,local_late45_abs7_next_offense,1978.0,0.36805815025280497,0.3230535894843276,0.045004560768477364,0.1099675723222624,0.35601626083565824,0.06271449205059468,0.2643995355093197
2010,none,local_late45_abs7_next_offense,2128.0,0.3528766332178767,0.3082706766917293,0.044605956526147406,0.11231887782811138,0.3637317798715098,0.056351783519715586,0.2703476699351953
2011,none,local_late45_abs7_next_offense,1643.0,0.39030870878793467,0.3365794278758369,0.05372928091209778,0.11558293346497164,0.375173825433223,0.06434284477674977,0.19399854007509043
2012,none,local_late45_abs7_next_offense,2015.0,0.3666186674635652,0.32903225806451614,0.03758640939904906,0.11084767489769355,0.3593547498127867,0.06252210866016651,0.17521313002406935
2013,none,local_late45_abs7_next_offense,2057.0,0.3803086894531138,0.3257170636849781,0.0545916257681357,0.11136781549209816,0.36057864471637796,0.06422111017097394,0.28663669690819227
2014,none,local_late45_abs7_next_offense,2101.0,0.3851160044550589,0.347453593526892,0.03766241092816691,0.11233535192712263,0.36114863803667197,0.05423404288407707,0.13622879969447632
2015,none,local_late45_abs7_next_offense,2014.0,0.37287193325400825,0.32770605759682225,0.045165875657185994,0.11312561086926985,0.3682941738197288,0.06378528581726127,0.24605469962460996
2016,none,local_late45_abs7_next_offense,2013.0,0.3805923777056578,0.3412816691505216,0.03931070855513619,0.10807292013934178,0.34935138083865597,0.05975943443429526,0.14912637955252894
2017,none,local_late45_abs7_next_offense,1961.0,0.39726798820187953,0.34676185619581845,0.05050613200606108,0.10980847085944113,0.3595742057268143,0.06543195805654704,0.5011721613499851
2018,none,local_late45_abs7_next_offense,1988.0,0.3916349004063364,0.3561368209255533,0.035498079480783096,0.127743599741419,0.4045226963345687,0.05321201111399995,0.3366364010414675
2019,none,local_late45_abs7_next_offense,1655.0,0.3996186503235313,0.3613293051359517,0.03828934518757959,0.10836568987581938,0.3542486018687006,0.056935129462755106,0.1935523304562589
2020,none,local_late45_abs7_next_offense,1575.0,0.38388910984067925,0.3593650793650794,0.024524030475599867,0.11883184719197155,0.3828275722851293,0.037328772822063316,0.08768137756898375
2021,none,local_late45_abs7_next_offense,1732.0,0.3863758139088491,0.37009237875288686,0.016283435155962256,0.09799273198301958,0.32726481838576205,0.06008917404647266,0.350691735244136
2022,none,local_late45_abs7_next_offense,1873.0,0.40366837205854733,0.3774693005872931,0.02619907147125422,0.11388199269116171,0.36366066067732455,0.0392340350987117,0.500461816128568
2023,none,local_late45_abs7_next_offense,1732.0,0.3943098260356439,0.36200923787528866,0.03230058816035525,0.10308048838110763,0.3349059002645689,0.054799226401246647,0.5894117782599331
2024,none,local_late45_abs7_next_offense,1698.0,0.40671017282515537,0.375736160188457,0.030974012636698356,0.109378322433187,0.3568456164427978,0.04304898639657134,0.4048553205671128
2000,surface,global_next_offense_excl_terminal,191185.0,0.49932441024831126,0.4940711875931689,0.005253222655142331,0.16655996739255075,0.4934872236803404,0.013080871459466946,0.029985513113284956
2001,surface,global_next_offense_excl_terminal,192784.0,0.4985466446454059,0.4918042991119595,0.006742345533446381,0.16970575626620477,0.5004060160098618,0.009389183238358335,0.03273792405450446
2002,surface,global_next_offense_excl_terminal,191656.0,0.499649945434086,0.4934726802187252,0.006177265215360772,0.1644865001593305,0.4879327401298675,0.016557897889455688,0.029869023607196593
2003,surface,global_next_offense_excl_terminal,189329.0,0.5004332518654362,0.49400250357842695,0.006430748287009236,0.16876878504490153,0.4992968065454863,0.01107079955100229,0.029264535234649836
2004,surface,global_next_offense_excl_terminal,197119.0,0.49972135596490663,0.4936561163561098,0.006065239608796846,0.17115092554212824,0.5040334844474288,0.00793074240050921,0.02492633810469984
2005,surface,global_next_offense_excl_terminal,193817.0,0.5008247428209248,0.49541061929552105,0.005414123525403769,0.17283547374040054,0.5090152688887809,0.008957593232978645,0.027031117254128045
2006,surface,global_next_offense_excl_terminal,195554.0,0.49963124459351527,0.4956124650991542,0.00401877949436108,0.1740197384962167,0.5113338171336524,0.007726268869371492,0.017680042009495467
2007,surface,global_next_offense_excl_terminal,200004.0,0.4988414163800357,0.49356012879742406,0.005281287582611649,0.16764874272894373,0.493458611741617,0.008705593658065988,0.025755561396838655
2008,surface,global_next_offense_excl_terminal,198611.0,0.49911842228082004,0.4951890882176717,0.0039293340631483265,0.16843838229217012,0.4966551862482587,0.00853885468715742,0.024445147121051225
2009,surface,global_next_offense_excl_terminal,200397.0,0.5003456071127859,0.495256915023678,0.005088692089107838,0.1700641411859988,0.49949364246710587,0.009728358317173627,0.023385995888272393
2010,surface,global_next_offense_excl_terminal,199281.0,0.4998060142896111,0.4928969645876928,0.006909049701918302,0.17303670329355317,0.507871635188424,0.009149670871197583,0.024977589740642125
2011,surface,global_next_offense_excl_terminal,160824.0,0.5006773408008752,0.4979231955429538,0.0027541452579214476,0.16787165464813525,0.4946743672839751,0.006539913319548594,0.020327193152560846
2012,surface,global_next_offense_excl_terminal,201131.0,0.5002948279134655,0.4946378231103112,0.005657004803154286,0.1668088206492383,0.49340274448053356,0.010761866836813386,0.025653554298223358
2013,surface,global_next_offense_excl_terminal,203711.0,0.50028865898878,0.4946762815950047,0.005612377393775347,0.16837279492965912,0.49567973250742153,0.008661168764600427,0.022568295250346093
2014,surface,global_next_offense_excl_terminal,208535.0,0.4991799762678257,0.49431510298031506,0.004864873287510618,0.16607856943416754,0.4896569498123368,0.01051874939181247,0.028787627350176856
2015,surface,global_next_offense_excl_terminal,211146.0,0.5017575563728774,0.4939331078969055,0.007824448475971968,0.16701779051336918,0.49398128639628686,0.012944653492643635,0.03226241318061257
2016,surface,global_next_offense_excl_terminal,212280.0,0.49967333410257125,0.496448087431694,0.0032252466708772576,0.1713536326921991,0.5039087041108394,0.012473308810554367,0.030277220778188507
2017,surface,global_next_offense_excl_terminal,215483.0,0.5016294518178317,0.49856833253667343,0.0030611192811582644,0.17364100907144897,0.5096775243965791,0.008099348525160121,0.031427292768614334
2018,surface,global_next_offense_excl_terminal,224295.0,0.4998341294474465,0.49817873782295635,0.0016553916244901323,0.17009980385163448,0.502440772533189,0.008757744852763857,0.025820685849875846
2019,surface,global_next_offense_excl_terminal,189622.0,0.49927627728394575,0.4971627764710846,0.0021135008128611577,0.1743466168424927,0.5127461486929479,0.012339353324301132,0.031125896586547408
2020,surface,global_next_offense_excl_terminal,193790.0,0.5023623738387504,0.5017441560452036,0.0006182177935467603,0.1687238317564061,0.49622059190820755,0.009846919754204415,0.03827241716989549
2021,surface,global_next_offense_excl_terminal,216496.0,0.5015528299080928,0.4991039095410539,0.0024489203670389204,0.17099715296569085,0.5028285543162658,0.012581131230990536,0.02647205067333125
2022,surface,global_next_offense_excl_terminal,216964.0,0.49983343598296176,0.4983176932578677,0.0015157427250940825,0.17404551835947424,0.5110932241332492,0.010235116869143794,0.03639907964659572
2023,surface,global_next_offense_excl_terminal,218036.0,0.49956319038177915,0.4963354675374709,0.0032277228443082784,0.1670990665271259,0.49332943769410337,0.010218331511248718,0.027426775703486284
2024,surface,global_next_offense_excl_terminal,219184.0,0.4993295291791846,0.4970025184320023,0.0023270107471822787,0.16873241716005732,0.4963608477402835,0.012075321066771833,0.031596900625796676
2000,surface,local_late45_abs7_next_offense,1951.0,0.36221328646918494,0.31522296258329063,0.0469903238858943,0.11259482504468767,0.3648895248719407,0.06199892714155486,0.23196374877493064
2001,surface,local_late45_abs7_next_offense,2066.0,0.3500013848678636,0.2899322362052275,0.060069148662636074,0.10790204526560221,0.351350125773964,0.0785592768543673,0.2815845999159088
2002,surface,local_late45_abs7_next_offense,2066.0,0.3515810701625703,0.30784123910939015,0.043739831053180134,0.10345311483197185,0.3366031043027149,0.06514450795854355,0.35156135082708606
2003,surface,local_late45_abs7_next_offense,2062.0,0.3441011535928112,0.28612997090203685,0.05797118269077434,0.11518553466644067,0.3715879026510114,0.07376256172751977,0.644100078821657
2004,surface,local_late45_abs7_next_offense,2108.0,0.34864764606957854,0.2926944971537002,0.055953148915878326,0.12164072824942798,0.38660412211761896,0.07199113693891729,0.35420800292030696
2005,surface,local_late45_abs7_next_offense,2161.0,0.36240130003959536,0.3322535863026377,0.030147713736957682,0.11897296126731043,0.3804541923171457,0.05329833649132742,0.2795552064433926
2006,surface,local_late45_abs7_next_offense,2247.0,0.3568205100787831,0.312861593235425,0.04395891684335812,0.13007950571844065,0.41034116181541863,0.05484976586298325,0.35138961873138497
2007,surface,local_late45_abs7_next_offense,1924.0,0.3571927830665891,0.31756756756756754,0.03962521549902154,0.10245126743942869,0.3368541770043184,0.0690867450898709,0.35295400765266893
2008,surface,local_late45_abs7_next_offense,2127.0,0.34846471277396407,0.3013634226610249,0.047101290112939176,0.11471752429887255,0.3650777412533306,0.05769658141036862,0.35205275828584637
2009,surface,local_late45_abs7_next_offense,1978.0,0.3608408918636416,0.3230535894843276,0.03778730237931399,0.10904956544099015,0.3520182962199862,0.05422082874847037,0.23382472142404753
2010,surface,local_late45_abs7_next_offense,2128.0,0.34387499685934525,0.3082706766917293,0.035604320167615944,0.11186547940478811,0.3622476780079656,0.051785093429123366,0.265284575199657
2011,surface,local_late45_abs7_next_offense,1643.0,0.38150380603145195,0.3365794278758369,0.04492437815561506,0.11362343934364691,0.36867702612104003,0.055890700167707315,0.649789208085252
2012,surface,local_late45_abs7_next_offense,2015.0,0.35834687649565067,0.32903225806451614,0.02931461843113453,0.10931431029379175,0.3531176075810302,0.053847263705659114,0.646757311212932
2013,surface,local_late45_abs7_next_offense,2057.0,0.3723982888005583,0.3257170636849781,0.046681225115580205,0.11025214889836096,0.35579053860389753,0.05629288236190838,0.2409830620033484
2014,surface,local_late45_abs7_next_offense,2101.0,0.3775449414112671,0.347453593526892,0.03009134788437512,0.11110833283208944,0.35626343631156804,0.05205403082808962,0.28975466744005574
2015,surface,local_late45_abs7_next_offense,2014.0,0.36504534234125613,0.32770605759682225,0.037339284744433876,0.11202609265789042,0.36448688244098,0.053799329828559526,0.40798593930293703
2016,surface,local_late45_abs7_next_offense,2013.0,0.3732115214435458,0.3412816691505216,0.0319298522930242,0.10705043910306672,0.34395624719783435,0.050256737471416534,0.16734888701388773
2017,surface,local_late45_abs7_next_offense,1961.0,0.3905394254252843,0.34676185619581845,0.04377756922946585,0.10853455184467128,0.3555327227215766,0.05594509732213846,0.21924401307403818
2018,surface,local_late45_abs7_next_offense,1988.0,0.38466513790223134,0.3561368209255533,0.028528316976678014,0.12750807415982893,0.4014143479269704,0.0478552994759701,0.21867084888460986
2019,surface,local_late45_abs7_next_offense,1655.0,0.3927955916026956,0.3613293051359517,0.03146628646674393,0.10709677537512928,0.3493568045858642,0.04588799768252786,0.498883648316533
2020,surface,local_late45_abs7_next_offense,1575.0,0.37572788434578464,0.3593650793650794,0.016362804980705248,0.11852041966847096,0.38093503367383696,0.03770097888438329,0.1831008554935227
2021,surface,local_late45_abs7_next_offense,1732.0,0.3789743705823454,0.37009237875288686,0.008881991829458535,0.09557314727523399,0.31914209731158344,0.05216906809072216,0.41160466286364505
2022,surface,local_late45_abs7_next_offense,1873.0,0.3975126194385613,0.3774693005872931,0.0200433188512682,0.11367376254192595,0.3624188986021286,0.03846484959636596,0.576871265587031
2023,surface,local_late45_abs7_next_offense,1732.0,0.38700964722967074,0.36200923787528866,0.02500040935438208,0.10209835554633452,0.32904243279534134,0.049043870202327866,0.5828037539673081
2024,surface,local_late45_abs7_next_offense,1698.0,0.40187437706373114,0.375736160188457,0.026138216875274123,0.10828025873890762,0.35298607920692565,0.036517115301680704,0.4128033701718202
