variant,season,time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
none,2011,30-45s,3PA,4,4,0.465117055144029,0.5,-0.03488294485597099
none,2011,45-60s,2PA,10,10,0.349247785512535,0.4,-0.05075221448746503
none,2011,45-60s,3PA,1,1,0.503545094717234,0.0,0.503545094717234
none,2012,0-15s,2PA,17,17,0.4252639753450367,0.0,0.4252639753450367
none,2012,0-15s,3PA,28,27,0.49343311342055607,0.32142857142857145,0.17200454199198462
none,2012,15-30s,2PA,17,17,0.3647089997975822,0.11764705882352941,0.2470619409740528
none,2012,15-30s,3PA,9,9,0.49212302108753153,0.5555555555555556,-0.06343253446802405
none,2012,30-45s,2PA,16,16,0.3173582186626135,0.375,-0.05764178133738651
none,2012,30-45s,3PA,4,4,0.46316432567968174,0.25,0.21316432567968174
none,2012,45-60s,2PA,16,16,0.34614409006276076,0.375,-0.028855909937239244
none,2012,45-60s,3PA,6,6,0.4530817271782646,0.5,-0.046918272821735385
none,2013,0-15s,2PA,21,19,0.31466807095445276,0.3333333333333333,-0.018665262378880554
none,2013,0-15s,3PA,31,30,0.48351151887437455,0.5161290322580645,-0.032617513383689956
none,2013,15-30s,2PA,14,14,0.3302329349855416,0.0,0.3302329349855416
none,2013,15-30s,3PA,7,7,0.44549006705550415,0.14285714285714285,0.3026329241983613
none,2013,30-45s,2PA,11,11,0.3259110165966268,0.18181818181818182,0.14409283477844498
none,2013,30-45s,3PA,2,2,0.50047036708154,0.5,0.00047036708154002405
none,2013,45-60s,2PA,5,5,0.3766942078184182,0.0,0.3766942078184182
none,2013,45-60s,3PA,5,5,0.457053043110293,0.4,0.05705304311029297
none,2014,0-15s,2PA,16,16,0.39390179371973555,0.125,0.26890179371973555
none,2014,0-15s,3PA,25,24,0.45809362752429833,0.56,-0.10190637247570172
none,2014,15-30s,2PA,16,15,0.3676860625610623,0.0625,0.3051860625610623
none,2014,15-30s,3PA,8,8,0.4640224661113057,0.75,-0.2859775338886943
none,2014,30-45s,2PA,8,8,0.318311415481459,0.25,0.06831141548145903
none,2014,30-45s,3PA,5,5,0.4722475777762208,0.6,-0.1277524222237792
none,2014,45-60s,2PA,13,13,0.32626962227071804,0.23076923076923078,0.09550039150148726
none,2015,0-15s,2PA,21,20,0.4065190034012905,0.09523809523809523,0.31128090816319526
none,2015,0-15s,3PA,27,24,0.4738135468136602,0.4074074074074074,0.06640613940625284
none,2015,15-30s,2PA,14,14,0.3980248341493299,0.35714285714285715,0.040881977006472725
none,2015,15-30s,3PA,10,10,0.45756520849274124,0.4,0.057565208492741216
none,2015,30-45s,2PA,11,11,0.3316018536097957,0.0,0.3316018536097957
none,2015,30-45s,3PA,3,3,0.45408894466367133,1.0,-0.5459110553363287
none,2015,45-60s,2PA,12,12,0.3234868114974843,0.5,-0.17651318850251568
none,2015,45-60s,3PA,7,7,0.48059453341208386,0.5714285714285714,-0.09083403801648754
none,2016,0-15s,2PA,13,12,0.3863011507147248,0.23076923076923078,0.15553191994549403
none,2016,0-15s,3PA,22,20,0.460848715130612,0.45454545454545453,0.006303260585157455
none,2016,15-30s,2PA,10,10,0.35337318791208283,0.1,0.25337318791208285
none,2016,15-30s,3PA,7,7,0.49112746592161416,0.2857142857142857,0.20541318020732846
none,2016,30-45s,2PA,17,17,0.33777844545493896,0.35294117647058826,-0.0151627310156493
none,2016,30-45s,3PA,7,7,0.5098530696533344,0.0,0.5098530696533344
none,2016,45-60s,2PA,11,11,0.3514218459547801,0.5454545454545454,-0.19403269949976532
none,2016,45-60s,3PA,5,5,0.49896778847228307,0.2,0.29896778847228306
none,2017,0-15s,2PA,16,15,0.4199247467517254,0.25,0.16992474675172542
none,2017,0-15s,3PA,12,12,0.46893346990029044,0.3333333333333333,0.13560013656695713
none,2017,15-30s,2PA,14,14,0.3442021643649608,0.2857142857142857,0.05848787865067512
none,2017,15-30s,3PA,7,7,0.46872357923014585,0.42857142857142855,0.0401521506587173
