window,outer_fold,train_years,test_years,time_bin_left,time_bin_right,time_bin_mid,score_diff_cell,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_catboost_raw,tau_xgb_raw,tau_lgbm_raw,tau_std_across_models,tau_sign_agree_ratio,n,shown_in_figure
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,-3,-0.004093070900495899,-0.004093070900495899,0.00261512757243996,0.0027698076159191395,-0.017664147889846795,0.0029484835,0.004873541,-0.022563323,0.018849290516616966,0.9016393442622951,61,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,-2,-0.001491128858966239,-0.001491128858966239,0.0028832299887131038,0.004078365310411842,-0.011434981876023662,0.003128,0.006741018,-0.014544377,0.017296152831165833,0.8632478632478632,39,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,-1,0.005629902297335496,0.005629902297335496,0.013675115426805313,0.0077566605576217945,-0.004542069092420622,0.01035405,0.011990408,-0.0056709754,0.011039355959212722,0.7666666666666667,30,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,0,0.005754832780095715,0.005754832780095715,0.012665300669576926,-0.007165966674545714,0.011765164345255935,0.009677896,-0.00930606,0.015321693,0.012431423329176003,0.6666666666666665,25,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,1,0.004436384388765271,0.004436384388765271,0.0026782855971121226,0.0059960007895809245,0.004634866779602764,0.002990773,0.009477725,0.0061427006,0.01011846484436132,0.8333333333333333,14,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,2,-0.010490455975826209,-0.010490455975826209,-0.02823082289148283,0.0033330873616352432,-0.006573632397631039,-0.017705403,0.0056774123,-0.008286253,0.01109808500638703,0.6875,32,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,3,-0.013034446371419836,-0.013034446371419836,-0.03167885035155667,0.0005373157823333907,-0.007961804545036229,-0.02001414,0.001687494,-0.010073278,0.009837574312180556,0.8205128205128205,13,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,4,-0.012959114423671748,-0.012959114423671748,-0.03841995717625935,0.003612278558787512,-0.004069664653543399,-0.024527863,0.006075853,-0.005062839,0.01050404202577451,0.6666666666666666,4,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,5,-0.0104309309545971,-0.0104309309545971,-0.029576929684420796,0.002833345542164808,-0.004549208721535315,-0.018606734,0.0049642175,-0.0056801667,0.008270894017166725,0.6666666666666666,4,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,6,-0.010772312282199848,-0.010772312282199848,-0.02269322161257712,-0.0029890697670471485,-0.006634645466975273,-0.013997527,-0.003345102,-0.008364797,0.00842183798553204,1.0,4,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,7,-0.005690266597229743,-0.005690266597229743,-0.007532246842998141,-0.0026882866154175223,-0.006850266333273566,-0.003846014,-0.0029158466,-0.00864237,0.009506990397519404,0.8333333333333333,2,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,8,-0.0023935883417057803,-0.0023935883417057803,0.002108682204887812,-0.002609213024709046,-0.0066802342052961075,0.0026093766,-0.0028029988,-0.008423484,0.011151535389767021,0.8888888888888888,6,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,9,-0.014531046486053363,-0.014531046486053363,-0.03441787941050916,-0.0034954499646475414,-0.005679810083003388,-0.021848144,-0.0040677707,-0.007135615,0.005979061328472195,1.0,3,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,9,12,10.5,10,-0.006912267863010098,-0.006912267863010098,-0.013381898222353259,-0.0010642012525798915,-0.0062907041140971435,-0.0077628344,-0.00059807237,-0.007922033,0.006977918453393662,0.8888888888888888,3,False
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,-10,-0.00960714430849568,-0.00960714430849568,-0.0367222632883228,0.007598208466207224,0.00030262189662853866,-0.023391118,0.011764277,0.0005657041,0.015106166007745678,0.8596491228070174,19,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,-9,-0.004777688746640712,-0.004777688746640712,-0.02274405676455607,0.00954075398543851,-0.0011297634608045763,-0.014031566,0.014536534,-0.0012782378,0.01778425518811004,0.8809523809523808,28,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,-8,-0.007637670459504568,-0.007637670459504568,-0.01722416837091892,0.0032016604854085474,-0.008890503493003332,-0.010335548,0.0054898495,-0.011268813,0.01587197806729943,0.8837209302325582,43,True
0--30s,train2000_2015_test2016_2018,2000-2015,2016-2018,12,15,13.5,-7,0.0036179936839764687,0.0036179936839764687,-0.0018278675898600653,0.006716451396638315,0.0059653972451511545,-2.6465275e-05,0.010505899,0.007855522,0.01597183657335928,0.8909090909090909,55,True
